dataset,family,method,method_key,budget,prompts,mean_end_to_end_tokens_per_second,mean_decode_only_tokens_per_second,speedup_vs_baseline_end_to_end,speedup_vs_baseline_decode_only,mean_matched_tokens_per_round,mean_committed_tokens_per_round,mean_target_calls,mean_ttft_ms,mean_total_generation_time_s,peak_allocated_gib,peak_reserved_gib,timing_source_runner_fraction
MT-Controlled,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,32,4,122.24438034321963,132.4751856865529,2.3240295594795453,2.467706483947006,2.9452868103763246,3.894866642309098,32.0,22.28174550000972,1.0324817645000621,10.318225383758545,10.392578125,1.0
MT-Controlled,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,64,4,131.55366078704444,142.3423630035089,2.500879667035386,2.6517812895577904,3.3211042311661503,4.266956418194808,28.75,19.09396624998294,0.9416120557499426,10.33734941482544,10.392578125,1.0
MT-Controlled,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,32,4,118.7180089523268,127.82940339718094,2.25692253709032,2.3815517881478536,2.789374668786434,3.744488606253312,32.75,20.773902499968244,1.0454329364999637,10.318225383758545,10.392578125,1.0
MT-Controlled,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,64,4,128.29775361172494,138.87679301354393,2.438912787785017,2.5866358558604396,3.1279201304851094,4.104942189308639,30.5,19.041500875005113,0.9857284922500185,10.33734941482544,10.392578125,1.0
MT-Native,original,Sequential-Baseline,baseline,,4,52.152827689476,53.17845149052498,nan,nan,0.0,1.0,115.25,20.600570499979654,2.213636259499964,8.632442474365234,8.771484375,1.0
MT-Native,original,Raw-DFlash,dflash,,4,119.96843149208881,129.94604465913824,2.3028832635130234,2.4422955554990726,2.6617968594712775,3.661796859471278,42.0,20.68593849999445,1.1559083880000003,8.679919242858887,8.771484375,1.0
MT-Native,original,DFlash-Original-DDTree-B16,ddtree_tb16,16,4,135.25314759953775,150.5439434123954,2.595539963752002,2.8296437355548223,3.28921568627451,4.28921568627451,34.25,21.228806000024747,0.9637989212500031,8.687368392944336,8.771484375,1.0
MT-Native,original,DFlash-Original-DDTree-B32,ddtree_tb32,32,4,139.92914003797608,157.15056919351161,2.6852697177996614,2.954076410369126,3.5162414965986395,4.5162414965986395,32.25,27.227822999989826,0.9274437800000044,8.690086841583252,8.771484375,1.0
MT-Native,original,DFlash-Original-DDTree-B64,ddtree_tb64,64,4,159.4053100543349,175.99394120955205,3.0595600433941903,3.3078928307695428,3.8031080517313307,4.80310805173133,30.25,19.214332749996288,0.8499123477500063,8.709210872650146,8.771484375,1.0
MT-Native,dflash2,Sequential-Baseline,baseline,,4,51.46564499256739,52.46383727541137,nan,nan,0.0,1.0,115.25,20.509800750033946,2.2464114780000273,10.262444496154785,10.392578125,1.0
MT-Native,dflash2,Raw-DFlash2,dflash2,,4,93.79238418349357,101.29594991122617,1.8204914372233745,1.9262406159256953,1.9185312314602934,2.8763030765319098,43.75,23.236821999987,1.338964256249966,10.302688121795654,10.392578125,1.0
MT-Native,dflash2,DFlash2-Original-DDTree-B7,dflash2_original_ddtree_tb7,7,4,99.03283130770345,105.42802063800826,1.921975851667346,2.004757121095701,2.153206746566178,3.1126783810697822,40.0,19.400177500031646,1.2733823217500344,10.306503295898438,10.392578125,1.0
MT-Native,dflash2,DFlash2-Original-DDTree-B16,dflash2_original_ddtree_tb16,16,4,110.17292520534653,118.23097767428946,2.1381994979663865,2.2480935852161057,2.531062030075188,3.5018640350877193,35.75,19.478605000003313,1.1519479282499958,10.308666229248047,10.392578125,1.0
MT-Native,dflash2,DFlash2-Original-DDTree-B32,dflash2_original_ddtree_tb32,32,4,116.39780422558437,124.95193270332885,2.2595743991454054,2.377009207993896,2.8064542483660135,3.7681372549019607,32.5,19.29162025000153,1.0673957282500055,10.318227767944336,10.392578125,1.0
MT-Native,dflash2,DFlash2-Original-DDTree-B64,dflash2_original_ddtree_tb64,64,4,120.02271006150828,129.50793226640664,2.329446840697643,2.4625899970894323,3.1395687645687644,4.116368006993007,30.5,19.443465625002432,1.0623119032500483,10.337353706359863,10.392578125,1.0
MT-Native,dflash2,DFlash2-Pairwise-K16-B7,dflash2_pairwise_k16_tb7,7,4,101.69762838799835,107.97765451004884,1.9745172642392013,2.0548106552264467,2.2305980725623584,3.1859126984126984,38.0,19.371695625011398,1.2050428684999872,10.306503295898438,10.392578125,1.0
MT-Native,dflash2,DFlash2-Pairwise-K16-B16,dflash2_pairwise_k16_tb16,16,4,111.68806561093245,121.57967545307656,2.1680802531387124,2.3122788227859568,2.6576996113760822,3.6106650768415474,34.75,22.798898124975153,1.1267746352499444,10.308666229248047,10.392578125,1.0
MT-Native,dflash2,DFlash2-Pairwise-K16-B32,dflash2_pairwise_k16_tb32,32,4,120.15394975429103,130.2391101414263,2.332071474810464,2.476878345666335,2.9452868103763246,3.894866642309098,32.0,22.774636874999032,1.0519170282500454,10.318225383758545,10.392578125,1.0
MT-Native,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,64,4,129.80761337939134,140.49034510131935,2.5200766389953326,2.6728244165627544,3.3211042311661503,4.266956418194808,28.75,19.36447275001285,0.9558379467499662,10.33734941482544,10.392578125,1.0
MT-Native,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,32,4,117.13539358335305,126.07936021175918,2.274060527660116,2.398800367301158,2.8656862745098044,3.8196078431372547,32.0,21.183259124953224,1.0546096524999484,10.318225383758545,10.392578125,1.0
MT-Native,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,64,4,125.33937913828066,135.7266722717174,2.432785420970965,2.581085949926618,3.1279201304851094,4.104942189308639,30.5,19.504938499977698,1.0115079500000093,10.33734941482544,10.392578125,1.0
