dataset,budget,trajectory_method,support_k,depth,observed_rounds,target_token_inclusion,prefix_representability
MATH500,16,Unary-K64,64,1,16724,0.9991628796938531,0.9991628796938531
MATH500,16,Unary-K64,64,2,16708,0.9952118745511133,0.9948527651424467
MATH500,16,Unary-K64,64,3,16689,0.9872371022829408,0.983402240997064
MATH500,16,Unary-K64,64,4,16678,0.9728384698405085,0.9618059719390815
MATH500,16,Unary-K64,64,5,16665,0.9626162616261627,0.935973597359736
MATH500,16,Unary-K64,64,6,16641,0.9498828195420949,0.9031909140075717
MATH500,16,Unary-K64,64,7,16611,0.9436517970019866,0.8723135271807838
MATH500,32,Unary-K64,16,1,16238,0.9973518906269245,0.9973518906269245
MATH500,32,Unary-K64,16,2,16224,0.9837278106508875,0.9825567061143984
MATH500,32,Unary-K64,16,3,16211,0.9578064277342545,0.9488618839059898
MATH500,32,Unary-K64,16,4,16198,0.9299296209408568,0.9030744536362514
MATH500,32,Unary-K64,16,5,16180,0.9055624227441286,0.8533374536464772
MATH500,32,Unary-K64,16,6,16157,0.8725010831218667,0.7952590208578325
MATH500,32,Unary-K64,16,7,16129,0.8460536921073842,0.7374294748589497
MATH500,32,Unary-K64,32,1,16238,0.9985835694050992,0.9985835694050992
MATH500,32,Unary-K64,32,2,16224,0.991370808678501,0.9910009861932939
MATH500,32,Unary-K64,32,3,16211,0.9753253963358214,0.9699586700388625
MATH500,32,Unary-K64,32,4,16198,0.9549944437584887,0.936844054821583
MATH500,32,Unary-K64,32,5,16180,0.9406674907292955,0.9007416563658838
MATH500,32,Unary-K64,32,6,16157,0.9195395184749644,0.8563470941387634
MATH500,32,Unary-K64,32,7,16129,0.9014818029636059,0.8099696199392399
MATH500,32,Unary-K64,64,1,16238,0.9991994087941864,0.9991994087941864
MATH500,32,Unary-K64,64,2,16224,0.9956854043392505,0.9955004930966469
MATH500,32,Unary-K64,64,3,16211,0.9866140275121831,0.9838381345999629
MATH500,32,Unary-K64,64,4,16198,0.9715396962587974,0.9604889492529942
MATH500,32,Unary-K64,64,5,16180,0.9632262051915945,0.9348578491965389
MATH500,32,Unary-K64,64,6,16157,0.9526521012564214,0.9051185244785542
MATH500,32,Unary-K64,64,7,16129,0.9409758819517638,0.8720317440634882
MATH500,64,Unary-K64,16,1,15612,0.997181655137074,0.997181655137074
MATH500,64,Unary-K64,16,2,15601,0.9822447279020575,0.9814114479841036
