dataset,family,method,method_key,budget,prompts,mean_end_to_end_tokens_per_second,mean_decode_only_tokens_per_second,speedup_vs_baseline_end_to_end,speedup_vs_baseline_decode_only,mean_matched_tokens_per_round,mean_committed_tokens_per_round,mean_target_calls,mean_ttft_ms,mean_total_generation_time_s,peak_allocated_gib,peak_reserved_gib,timing_source_runner_fraction
MATH500,dflash2,DFlash2-Pairwise-K16-B64,dflash2_pairwise_k16_tb64,64,128,196.1862625920598,200.7386788464259,3.8465219671123654,3.9197112140735237,5.4559650186344815,6.43372253872645,39.1875,19.982775580705454,1.291787304387976,10.39365816116333,10.546875,1.0
MATH500,dflash2,DFlash2-Unary-K16-B32,dflash2_unary_k16_tb32,32,128,174.1955030797416,177.79850991054178,3.4161754956696075,3.4726159102083205,4.618804107166385,5.599001596602331,45.21875,20.019705645732223,1.4605178428202332,10.36946725845337,10.546875,1.0
MATH500,dflash2,DFlash2-Unary-K16-B64,dflash2_unary_k16_tb64,64,128,177.67353611689984,181.41393375553065,3.484341611463929,3.543191591121502,4.819293581627022,5.799634813567188,43.5078125,19.96047911468205,1.4275343994063738,10.401131629943848,10.546875,1.0
MT-Bench-controlled,original,Sequential-Baseline,baseline,,80,53.80713005458207,54.19474416679839,nan,nan,0.0,1.0,421.8875,19.244075025017082,7.851816481533478,8.733861923217773,9.041015625,1.0
MT-Bench-controlled,original,Raw-DFlash,dflash,,80,158.2870579324155,163.53250189459143,2.939586981066031,3.015270534411962,3.2727238361467146,4.272723836146715,125.9625,19.303150245832512,3.3184613381205965,8.848532676696777,9.041015625,1.0
MT-Bench-controlled,original,DFlash-Original-DDTree-B16,ddtree_tb16,16,80,183.57306630620178,190.2553839664128,3.409456495444755,3.508191300717037,4.061381936143041,5.061381936143041,99.525,19.24152585860005,2.678769268787558,8.85008430480957,9.041015625,1.0
MT-Bench-controlled,original,DFlash-Original-DDTree-B32,ddtree_tb32,32,80,197.17942522979976,204.9670883122395,3.6619282967969538,3.7791013865693612,4.480190110695084,5.480190110695083,92.2625,19.446778852125135,2.4984866794079004,8.85045051574707,9.041015625,1.0
MT-Bench-controlled,original,DFlash-Original-DDTree-B64,ddtree_tb64,64,80,210.06184160179902,219.00684815361984,3.901409212578772,4.037692483766731,4.836894738286847,5.836894738286847,86.7875,19.297673925226867,2.345921332042144,8.866755485534668,9.041015625,1.0
MT-Bench-controlled,dflash2,Sequential-Baseline,baseline,,80,51.526874564152834,51.8854585229313,nan,nan,0.0,1.0,421.8875,19.57168087298366,8.190602317195802,10.365653038024902,10.669921875,1.0
MT-Bench-controlled,dflash2,Raw-DFlash2,dflash2,,80,117.80617395948946,120.86029916863231,2.290679125460813,2.3337493989683518,2.5193254095577173,3.5029140028609986,134.3875,19.79001377289933,3.983875633954176,10.471240520477295,10.669921875,1.0
