dataset,is_primary,comparison_type,left_method,right_method,left_budget,right_budget,prompts,mean_tokens_per_second_diff,tokens_per_second_diff_ci_low,tokens_per_second_diff_ci_high,mean_relative_pct_diff,mean_baseline_normalized_speedup_diff,baseline_normalized_speedup_diff_ci_low,baseline_normalized_speedup_diff_ci_high,improve_prompts,tie_prompts,hurt_prompts
MATH500,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B7,Sequential-Baseline,7,,128,114.01429444503819,110.12471463675796,117.94417218709074,223.53891479168516,nan,nan,nan,128,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B16,Sequential-Baseline,16,,128,133.2314201619235,129.51885570795386,136.92624256417855,261.20971766584057,nan,nan,nan,128,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B32,Sequential-Baseline,32,,128,140.94549275093541,137.23326670603166,144.55346291056637,276.36636425443885,nan,nan,nan,128,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B64,Sequential-Baseline,64,,128,145.20300275162472,141.7811137368016,148.50091643093134,284.65219671123646,nan,nan,nan,128,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Unary-K16-B32,Sequential-Baseline,32,,128,123.21224323930649,119.6385028613959,126.78238485994589,241.6175495669608,nan,nan,nan,128,0,0
MATH500,False,within_family_vs_sequential,DFlash2-Unary-K16-B64,Sequential-Baseline,64,,128,126.69027627646474,123.36435945772477,129.9460377784952,248.43416114639288,nan,nan,nan,128,0,0
MT-Bench-controlled,True,controlled,DFlash2-Pairwise-K16-B16,DFlash2-Original-DDTree-B16,16,16,80,7.067716140053773,5.531454431166879,8.615575455805223,5.408852633839634,nan,nan,nan,67,0,13
MT-Bench-controlled,False,controlled,DFlash2-Pairwise-K16-B7,DFlash2-Original-DDTree-B7,7,7,80,4.652665250117925,3.3999659546806122,5.936215326560308,4.0049633940668325,nan,nan,nan,64,0,16
MT-Bench-controlled,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Original-DDTree-B32,32,32,80,10.562854468257774,8.808740213090264,12.33605828642408,8.114488570944937,nan,nan,nan,75,0,5
MT-Bench-controlled,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Original-DDTree-B64,64,64,80,18.1321999420372,15.384594083049803,20.56472984381528,14.347558469460893,nan,nan,nan,78,0,2
MT-Bench-controlled,False,controlled,DFlash2-Pairwise-K16-B7,Raw-DFlash2,7,,80,5.87730617915654,4.527178458693211,7.2381846217714445,6.412454288745801,nan,nan,nan,66,0,14
MT-Bench-controlled,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Unary-K16-B32,32,32,80,8.696956290578425,6.753692584617994,10.524440692357345,6.605007416505946,nan,nan,nan,72,0,8
MT-Bench-controlled,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Unary-K16-B64,64,64,80,8.848375554032632,6.385974137091821,11.05318207491831,6.475526783315291,nan,nan,nan,70,0,10
MT-Bench-controlled,False,cross_drafter,DFlash2-Pairwise-K16-B16,Raw-DFlash,16,,80,-21.646725490202694,-31.80103292920189,-12.311360193931462,-5.208427383044398,-0.2833033933982672,-0.46217808479137634,-0.1196427868321533,39,0,41
MT-Bench-controlled,False,cross_drafter,DFlash2-Pairwise-K16-B16,DFlash-Original-DDTree-B16,16,16,80,-46.93273386398896,-56.462693979257786,-38.024832144192196,-21.763961022816552,-0.7531729077769905,-0.919528808663765,-0.6043776945060846,0,0,80
MT-Bench-controlled,False,cross_drafter,DFlash2-Pairwise-K16-B32,Raw-DFlash,32,,80,-13.672393498269084,-24.10475457482687,-4.112259179538257,1.1577697273384226,-0.12878660648915435,-0.311105851888545,0.035965961647411754,48,0,32
MT-Bench-controlled,False,cross_drafter,DFlash2-Pairwise-K16-B32,DFlash-Original-DDTree-B32,32,32,80,-52.56476079565332,-63.13598644285612,-42.910015934437965,-22.456652306591813,-0.8511279222200772,-1.0406548703396596,-0.6786096277250803,0,0,80
MT-Bench-controlled,False,cross_drafter,DFlash2-Pairwise-K16-B64,Raw-DFlash,64,,80,-9.460486995173374,-19.671354637169753,0.00875396865029519,4.47057132575309,-0.04696730739933917,-0.22677606649735815,0.12267085023481653,47,0,33
MT-Bench-controlled,False,cross_drafter,DFlash2-Pairwise-K16-B64,DFlash-Original-DDTree-B64,64,64,80,-61.235270664556865,-72.52235749039697,-50.450369692458125,-25.05282979790408,-1.00878953891208,-1.213996514057178,-0.8192509909791257,0,0,80
MT-Bench-controlled,False,within_family_vs_sequential,Raw-DFlash,Sequential-Baseline,,,80,104.47992787783346,88.03708348562391,122.54090682423093,193.9586981066031,nan,nan,nan,80,0,0
MT-Bench-controlled,False,within_family_vs_sequential,DFlash-Original-DDTree-B16,Sequential-Baseline,16,,80,129.76593625161973,113.63650224891606,146.93844593441966,240.94564954447546,nan,nan,nan,80,0,0
MT-Bench-controlled,False,within_family_vs_sequential,DFlash-Original-DDTree-B32,Sequential-Baseline,32,,80,143.3722951752177,126.04727289153008,161.7439793899768,266.19282967969536,nan,nan,nan,80,0,0
MT-Bench-controlled,False,within_family_vs_sequential,DFlash-Original-DDTree-B64,Sequential-Baseline,64,,80,156.25471154721694,138.16216265911757,175.3563466410866,290.1409212578772,nan,nan,nan,80,0,0
MT-Bench-controlled,False,controlled,DFlash-Original-DDTree-B16,Raw-DFlash,16,,80,25.286008373786267,22.957267449651397,27.53674961919334,20.354433124021853,nan,nan,nan,76,0,4
MT-Bench-controlled,False,controlled,DFlash-Original-DDTree-B32,Raw-DFlash,32,,80,38.89236729738424,36.047815667812635,41.68065962276875,29.413726045511464,nan,nan,nan,79,0,1
MT-Bench-controlled,False,controlled,DFlash-Original-DDTree-B64,Raw-DFlash,64,,80,51.77478366938349,48.22701512523755,55.56747214216655,38.275627308797745,nan,nan,nan,80,0,0
MT-Bench-controlled,False,within_family_vs_sequential,Raw-DFlash2,Sequential-Baseline,,,80,66.27929939533665,57.97289822778914,74.95920703626982,129.0679125460813,nan,nan,nan,80,0,0
MT-Bench-controlled,False,within_family_vs_sequential,DFlash2-Original-DDTree-B7,Sequential-Baseline,7,,80,67.50394032437525,60.11221155215919,75.27648947411186,131.3806104523399,nan,nan,nan,80,0,0
MT-Bench-controlled,False,within_family_vs_sequential,DFlash2-Original-DDTree-B16,Sequential-Baseline,16,,80,78.04574173800623,70.34386416289829,85.95573241577375,151.91308917454393,nan,nan,nan,80,0,0
MT-Bench-controlled,False,within_family_vs_sequential,DFlash2-Original-DDTree-B32,Sequential-Baseline,32,,80,82.52493540173585,74.96675711771374,90.35357158479397,160.56048502981562,nan,nan,nan,80,0,0
MT-Bench-controlled,False,within_family_vs_sequential,DFlash2-Original-DDTree-B64,Sequential-Baseline,64,,80,79.16749643105211,71.80774492321486,86.88623765983228,154.04724616366295,nan,nan,nan,80,0,0
MT-Bench-controlled,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B7,Sequential-Baseline,7,,80,72.15660557449318,64.4330987529999,79.91046370591701,140.45745183166167,nan,nan,nan,80,0,0
MT-Bench-controlled,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B16,Sequential-Baseline,16,,80,85.11345787806002,76.88118847639588,93.55828225489468,165.6283587667764,nan,nan,nan,80,0,0
MT-Bench-controlled,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B32,Sequential-Baseline,32,,80,93.08778986999361,84.95196090378691,101.48683449081739,181.08003745768767,nan,nan,nan,80,0,0
MT-Bench-controlled,False,within_family_vs_sequential,DFlash2-Pairwise-K16-B64,Sequential-Baseline,64,,80,97.29969637308932,89.20520782521739,105.89478357513956,189.2619673666692,nan,nan,nan,80,0,0
MT-Bench-controlled,False,within_family_vs_sequential,DFlash2-Unary-K16-B32,Sequential-Baseline,32,,80,84.39083357941517,76.63370947204135,92.35936924787919,164.21019085603868,nan,nan,nan,80,0,0
MT-Bench-controlled,False,within_family_vs_sequential,DFlash2-Unary-K16-B64,Sequential-Baseline,64,,80,88.45132081905669,80.801700350655,96.29719811018262,172.07136551506332,nan,nan,nan,80,0,0
MT-Bench-native,True,controlled,DFlash2-Pairwise-K16-B16,DFlash2-Original-DDTree-B16,16,16,80,7.203852666387308,5.429196480816657,9.016927074706123,5.317908270640261,nan,nan,nan,68,0,12
MT-Bench-native,False,controlled,DFlash2-Pairwise-K16-B7,DFlash2-Original-DDTree-B7,7,7,80,4.509675796927125,3.090111649080283,5.99623671021818,3.82268078773743,nan,nan,nan,62,0,18
MT-Bench-native,False,controlled,DFlash2-Pairwise-K16-B32,DFlash2-Original-DDTree-B32,32,32,80,10.680626180896617,8.870165965685233,12.4914588031151,8.09510070720546,nan,nan,nan,73,0,7
MT-Bench-native,False,controlled,DFlash2-Pairwise-K16-B64,DFlash2-Original-DDTree-B64,64,64,80,18.703297888148192,16.402646064021933,20.968039994628946,14.48560032521397,nan,nan,nan,76,0,4
