scope,method,budget,depth,N,covered,candidate_failures,ranking_budget_failures,candidate_failure_rate,ranking_budget_failure_rate
realized,Pairwise-after-root,8,4,1898,1154,251,493,0.1322444678609062,0.25974710221285563
realized,Pairwise-after-root,8,5,1895,922,357,616,0.18839050131926122,0.325065963060686
realized,Pairwise-after-root,8,6,1895,702,483,710,0.25488126649076515,0.37467018469656993
realized,Pairwise-after-root,8,7,1887,537,601,749,0.3184949655537891,0.3969263381028087
realized,Pairwise-after-root,16,1,1913,1862,4,47,0.0020909566126502874,0.024568740198640877
realized,Pairwise-after-root,16,2,1909,1725,47,137,0.02462022001047669,0.071765322158198
realized,Pairwise-after-root,16,3,1902,1527,142,233,0.07465825446898001,0.12250262881177708
realized,Pairwise-after-root,16,4,1898,1323,251,324,0.1322444678609062,0.17070600632244468
realized,Pairwise-after-root,16,5,1895,1124,357,414,0.18839050131926122,0.21846965699208443
realized,Pairwise-after-root,16,6,1895,923,483,489,0.25488126649076515,0.25804749340369393
realized,Pairwise-after-root,16,7,1887,752,601,534,0.3184949655537891,0.28298887122416533
realized,Pairwise-after-root,32,1,1913,1874,4,35,0.0020909566126502874,0.018295870360690015
realized,Pairwise-after-root,32,2,1909,1780,47,82,0.02462022001047669,0.042954426401257205
realized,Pairwise-after-root,32,3,1902,1592,142,168,0.07465825446898001,0.08832807570977919
realized,Pairwise-after-root,32,4,1898,1418,251,229,0.1322444678609062,0.12065331928345627
realized,Pairwise-after-root,32,5,1895,1240,357,298,0.18839050131926122,0.15725593667546175
realized,Pairwise-after-root,32,6,1895,1072,483,340,0.25488126649076515,0.17941952506596306
realized,Pairwise-after-root,32,7,1887,893,601,393,0.3184949655537891,0.2082670906200318
realized,Pairwise-after-root,64,1,1913,1890,4,19,0.0020909566126502874,0.009932043910088865
realized,Pairwise-after-root,64,2,1909,1814,47,48,0.02462022001047669,0.025144054478784705
realized,Pairwise-after-root,64,3,1902,1648,142,112,0.07465825446898001,0.058885383806519455
realized,Pairwise-after-root,64,4,1898,1492,251,155,0.1322444678609062,0.08166491043203372
realized,Pairwise-after-root,64,5,1895,1331,357,207,0.18839050131926122,0.10923482849604221
realized,Pairwise-after-root,64,6,1895,1161,483,251,0.25488126649076515,0.1324538258575198
realized,Pairwise-after-root,64,7,1887,1008,601,278,0.3184949655537891,0.14732379438261792
realized,Pairwise-after-root,128,1,1913,1898,4,11,0.0020909566126502874,0.00575013068478829
realized,Pairwise-after-root,128,2,1909,1838,47,24,0.02462022001047669,0.012572027239392353
realized,Pairwise-after-root,128,3,1902,1696,142,64,0.07465825446898001,0.033648790746582544
realized,Pairwise-after-root,128,4,1898,1541,251,106,0.1322444678609062,0.05584826132771338
realized,Pairwise-after-root,128,5,1895,1397,357,141,0.18839050131926122,0.07440633245382586
realized,Pairwise-after-root,128,6,1895,1229,483,183,0.25488126649076515,0.09656992084432718
realized,Pairwise-after-root,128,7,1887,1068,601,218,0.3184949655537891,0.11552729199788023
realized,Pairwise-after-root,256,1,1913,1904,4,5,0.0020909566126502874,0.0026136957658128594
realized,Pairwise-after-root,256,2,1909,1849,47,13,0.02462022001047669,0.006809848088004191
realized,Pairwise-after-root,256,3,1902,1725,142,35,0.07465825446898001,0.01840168243953733
realized,Pairwise-after-root,256,4,1898,1580,251,67,0.1322444678609062,0.03530031612223393
realized,Pairwise-after-root,256,5,1895,1441,357,97,0.18839050131926122,0.05118733509234828
realized,Pairwise-after-root,256,6,1895,1285,483,127,0.25488126649076515,0.06701846965699208
realized,Pairwise-after-root,256,7,1887,1120,601,166,0.3184949655537891,0.08797032326444092
realized,DFlash2-GreedyPath,1,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
realized,DFlash2-GreedyPath,1,2,1909,0,47,1862,0.02462022001047669,0.9753797799895233
realized,DFlash2-GreedyPath,1,3,1902,0,142,1760,0.07465825446898001,0.92534174553102
realized,DFlash2-GreedyPath,1,4,1898,0,251,1647,0.1322444678609062,0.8677555321390937
realized,DFlash2-GreedyPath,1,5,1895,0,357,1538,0.18839050131926122,0.8116094986807388
realized,DFlash2-GreedyPath,1,6,1895,0,483,1412,0.25488126649076515,0.7451187335092349
realized,DFlash2-GreedyPath,1,7,1887,0,601,1286,0.3184949655537891,0.6815050344462109
realized,DFlash2-GreedyPath,2,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
realized,DFlash2-GreedyPath,2,2,1909,1440,47,422,0.02462022001047669,0.2210581456259822
realized,DFlash2-GreedyPath,2,3,1902,0,142,1760,0.07465825446898001,0.92534174553102
realized,DFlash2-GreedyPath,2,4,1898,0,251,1647,0.1322444678609062,0.8677555321390937
realized,DFlash2-GreedyPath,2,5,1895,0,357,1538,0.18839050131926122,0.8116094986807388
realized,DFlash2-GreedyPath,2,6,1895,0,483,1412,0.25488126649076515,0.7451187335092349
realized,DFlash2-GreedyPath,2,7,1887,0,601,1286,0.3184949655537891,0.6815050344462109
realized,DFlash2-GreedyPath,4,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
realized,DFlash2-GreedyPath,4,2,1909,1440,47,422,0.02462022001047669,0.2210581456259822
realized,DFlash2-GreedyPath,4,3,1902,1202,142,558,0.07465825446898001,0.29337539432176657
realized,DFlash2-GreedyPath,4,4,1898,1024,251,623,0.1322444678609062,0.32824025289778713
realized,DFlash2-GreedyPath,4,5,1895,0,357,1538,0.18839050131926122,0.8116094986807388
realized,DFlash2-GreedyPath,4,6,1895,0,483,1412,0.25488126649076515,0.7451187335092349
realized,DFlash2-GreedyPath,4,7,1887,0,601,1286,0.3184949655537891,0.6815050344462109
realized,DFlash2-GreedyPath,7,1,1913,1694,4,215,0.0020909566126502874,0.11238891792995295
